storm,n_sites,threshold_X_headline_m,weighted_frac_exceeds_X_headline,threshold_X_region_m,weighted_frac_exceeds_X_region,median_abs_delta_hs,max_abs_delta_hs
xynthia,111,0.4,0.15620907560178532,0.46,0.11733998573559803,0.24197960788439943,1.1500160047991828
xaver,78,0.4,0.3666559927093966,0.39,0.37453763726826084,1.4157802678057054,4.877183451162185
gloria,138,0.4,0.26559280165946125,0.41,0.26559280165946125,0.5889163407786515,2.818055948252204
aggregated,327,0.4,0.2463201244212194,,0.23433849221075193,0.478439789036889,4.877183451162185
