storm,n_sites,n_resolvable,n_tier_both,n_tier_regional_only,n_tier_waverys_only,n_tier_neither,threshold_X_headline_m,weighted_frac_differs_headline,threshold_X_region_m,weighted_frac_differs_region,weighted_coverage,median_abs_delta_hs_both,max_abs_delta_hs_both
xynthia,111,99,73,18,8,12,0.4,0.5985736675214971,0.46,0.5462973628193765,0.8903990406816044,0.240000103935599,2.970000031515956
xaver,78,67,44,10,13,11,0.4,0.8260296179394165,0.39,0.8315683021445088,0.8499010638036402,1.3501001958748307,7.257866609568398
gloria,138,110,80,10,20,28,0.4,0.821287338146133,0.41,0.7942686970101628,0.7742778931400025,0.7219547842840375,2.4859998824913054
aggregated,327,276,197,38,41,51,0.4,0.7317327446312055,,0.701736127053929,0.8352610103781672,0.5739999610185624,7.257866609568398
